asset_id,kind,file,origin,tool,licence,notes
bosses,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/bosses.png,"original, generated",Tools/art/gen_bosses.py,project-owned (original),sprite atlas
bosses_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/bosses_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
bosses_flash,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/bosses_flash.png,"original, generated",Tools/art/gen_bosses.py,project-owned (original),white hit-flash silhouettes of bosses
citadel,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/citadel.png,"original, generated",Tools/art/gen_citadel.py,project-owned (original),sprite atlas
citadel_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/citadel_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
enemies,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/enemies.png,"original, generated",Tools/art/gen_enemies.py,project-owned (original),sprite atlas
enemies_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/enemies_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
enemies_flash,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/enemies_flash.png,"original, generated",Tools/art/gen_enemies.py,project-owned (original),white hit-flash silhouettes of enemies
env_gravewood,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/env_gravewood.png,"original, generated",Tools/art/gen_env.py,project-owned (original),sprite atlas
env_gravewood_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/env_gravewood_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
env_moonfall,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/env_moonfall.png,"original, generated",Tools/art/gen_env.py,project-owned (original),sprite atlas
env_moonfall_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/env_moonfall_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
fx,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/fx.png,"original, generated",Tools/art/gen_fx.py,project-owned (original),sprite atlas
fx_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/fx_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
hero,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/hero.png,"original, generated",Tools/art/gen_hero.py,project-owned (original),sprite atlas
hero_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/hero_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
icons,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/icons.png,"original, generated",Tools/art/gen_icons.py,project-owned (original),sprite atlas
icons_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/icons_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
portraits,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/portraits.png,"original, generated",Tools/art/gen_icons.py,project-owned (original),sprite atlas
portraits_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/portraits_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
stations,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/stations.png,"original, generated",Tools/art/gen_stations.py,project-owned (original),sprite atlas
stations_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/stations_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
ui,texture atlas,Assets/_EvilCats/Art/Resources/ECArt/ui.png,"original, generated",Tools/art/gen_ui.py,project-owned (original),sprite atlas
ui_atlas,atlas metadata,Assets/_EvilCats/Art/Resources/ECArt/ui_atlas.json,"original, generated",Tools/art/build_all.py,project-owned (original),"sprite rectangles, pivots, anchors, animations"
boss/king_goldenfang/command/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/command/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/command/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/command/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/command/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/command/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/command/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/command/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/defeat/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/defeat/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/defeat/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/defeat/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/defeat/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/defeat/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/defeat/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/defeat/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/defeat/4,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/defeat/4,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/defeat/5,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/defeat/5,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/hit/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/hit/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/hit/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/hit/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/idle/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/idle/1,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/idle/2,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/idle/3,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/idle/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/king_goldenfang/roar/0,sprite,Art/Resources/ECArt/bosses.png#boss/king_goldenfang/roar/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
