Decoded-file checks of the shipped OGG audio (objective numbers only; nobody has listened yet)
id                        dur s  peak dB     LUFS  lead ms   clips    NaN loop seam ratio
menu                       68.6     -1.7    -17.0        0       0  False 0.16
gravewood                  88.0     -1.4    -17.0        0       0  False 0.21
moonfall                   83.8     -3.2    -17.0        0       0  False 0.39
boss                       80.0     -2.6    -16.5        0       0  False 0.22
victory                     7.6     -4.9    -16.0        0       0  False 
defeat                      6.4     -5.6    -18.0        0       0  False 
story                      20.7     -4.0    -18.0        0       0  False 
ui_click                    0.1     -1.8    -21.2        0       0  False 
ui_back                     0.1     -1.8    -19.1        0       0  False 
ui_denied                   0.3     -1.5    -13.1        0       0  False 
ui_toggle                   0.1     -1.6    -19.8        0       0  False 
purchase                    0.7     -1.8    -11.2        0       0  False 
reward                      1.3     -1.5    -10.7        0       0  False 
level_up                    1.7     -1.6    -12.8        0       0  False 
perk_pick                   0.9     -1.4    -11.4        0       0  False 
arc_bolt_0                  0.3     -1.5    -15.7        0       0  False 
arc_bolt_1                  0.3     -1.9    -15.4        0       0  False 
arc_bolt_2                  0.4     -1.7    -15.3        0       0  False 
chain_jump_0                0.1     -1.9    -24.0        0       0  False 
chain_jump_1                0.1     -2.8    -24.1        0       0  False 
chain_jump_2                0.1     -4.3    -24.2        0       0  False 
arc_storm                   2.6     -1.3    -16.2        0       0  False 
ward_cast                   1.2     -1.5    -13.1        0       0  False 
barrier_hit                 0.6     -1.7    -13.3        0       0  False 
barrier_break               1.2     -1.4    -13.6        0       0  False 
station_arc_coil            0.6     -1.7    -18.5        0       0  False 
station_ember_fire          0.8     -1.2    -14.9        0       0  False 
explosion                   1.2     -2.0    -16.1        0       0  False 
frost_bell                  1.5     -1.7     -8.8        0       0  False 
freeze                      0.8     -1.8    -16.9        0       0  False 
shatter                     0.6     -1.9    -15.9        0       0  False 
ballista_fire               0.7     -1.2    -18.3        0       0  False 
ballista_hit_0              0.3     -1.8    -23.2        0       0  False 
ballista_hit_1              0.3     -2.0    -23.1        0       0  False 
ballista_hit_2              0.3     -2.9    -23.1        0       0  False 
ward_pulse                  1.0     -1.5     -9.9        0       0  False 
gravity_pull                0.8     -1.2    -15.3        0       0  False 
enemy_hit_0                 0.2     -1.3    -24.0        0       0  False 
enemy_hit_1                 0.2     -3.8    -24.0        0       0  False 
enemy_hit_2                 0.2     -1.9    -24.0        0       0  False 
enemy_death_0               0.5     -1.9    -20.6        0       0  False 
enemy_death_1               0.5     -2.3    -20.8        0       0  False 
enemy_death_2               0.5     -2.7    -20.9        0       0  False 
citadel_hit_0               0.5     -1.7    -20.9        0       0  False 
citadel_hit_1               0.5     -3.5    -20.9        0       0  False 
citadel_hit_2               0.4     -1.4    -20.9        0       0  False 
citadel_heavy_hit           1.7     -1.7    -15.4        0       0  False 
arrow_fire                  0.4     -1.7    -19.2        0       0  False 
priest_heal                 1.3     -1.7     -9.6        0       0  False 
powder_fuse                 1.0     -1.9    -14.6        0       0  False 0.45
powder_explode              1.8     -1.4    -14.8        0       0  False 
golem_step_0                0.7     -4.3    -20.1        0       0  False 
golem_step_1                0.7     -2.4    -20.1        0       0  False 
golem_step_2                0.7     -1.6    -20.2        0       0  False 
bat_swarm                   1.4     -1.8    -15.7        0       0  False 
boss_warning                2.3     -1.3    -13.1        0       0  False 
boss_roar                   2.0     -1.3    -11.4        0       0  False 
bell_toll                   4.4     -1.4    -12.5        0       0  False 
wave_start                  1.7     -1.5    -14.1        0       0  False 
wave_clear                  1.3     -1.4     -9.3        0       0  False 
victory_sting               2.2     -1.6    -12.5        0       0  False 
defeat_sting                2.0     -1.5    -10.5        0       0  False 
coin_0                      0.2     -1.8    -16.7        0       0  False 
coin_1                      0.2     -1.9    -16.6        0       0  False 
coin_2                      0.2     -1.9    -16.6        0       0  False 
xp                          0.3     -1.8    -12.4        0       0  False 
unlock                      1.6     -1.6     -9.2        0       0  False 
claim                       1.0     -1.4     -9.4        0       0  False 
swoosh                      0.3     -1.8    -16.0        0       0  False 
countdown                   0.2     -2.0    -19.4        0       0  False 
problems flagged: 0
