Sweep: perm=mid, seeds=4  (win% | avg waves | avg time | avg perks | min hp)
mission  default                           chain_control                     fire_gravity                      ballista_ward                     
m01      100%  10.0w  3:50  3.0p 64 %      100%  10.0w  3:49  3.0p 67 %      100%  10.0w  3:36  3.0p 87 %      100%  10.0w  3:32  3.0p 65 %      
m02      100%  20.0w  8:19  7.0p 79 %      100%  20.0w  8:14  7.0p 89 %      100%  20.0w  8:22  7.0p 74 %      100%  20.0w  8:11  7.0p 78 %      
m03      100%  20.0w  9:02  7.0p 64 %      100%  20.0w  8:50  7.0p 74 %      100%  20.0w  9:04  7.0p 54 %      100%  20.0w  8:42  7.0p 49 %      
m04       75%  19.5w  9:13  6.8p 33 %       75%  19.8w  9:07  7.0p 48 %       75%  19.5w  9:09  6.8p 22 %       50%  18.8w  8:08  6.5p 25 %      
m05      100%  20.0w 10:28  7.0p 51 %      100%  20.0w 10:25  7.0p 55 %      100%  20.0w 10:21  7.0p 42 %       75%  19.5w  9:12  7.0p 20 %      
m06      100%  20.0w  9:12  7.0p 50 %       75%  19.8w  9:16  7.0p 47 %       75%  19.8w  9:08  7.0p 39 %      100%  20.0w  8:34  7.0p 77 %      
m07      100%  20.0w 10:06  7.0p 63 %      100%  20.0w 10:12  7.0p 62 %      100%  20.0w 10:01  7.0p 65 %      100%  20.0w  9:19  7.3p 49 %      
m08      100%  20.0w  9:48  8.0p 81 %      100%  20.0w 11:08  8.0p 64 %      100%  20.0w  9:50  8.0p 62 %      100%  20.0w  9:09  8.0p 74 %      
m09       75%  19.8w 10:06  8.0p 42 %       75%  19.8w 11:35  8.0p 33 %      100%  20.0w 10:13  8.0p 46 %      100%  20.0w  9:28  8.0p 79 %      
m10      100%  20.0w 10:32  8.0p 77 %      100%  20.0w 12:28  8.0p 48 %      100%  20.0w 10:34  8.0p 58 %      100%  20.0w  9:44  8.0p 55 %      
m11      100%  20.0w 10:24  8.0p 74 %      100%  20.0w 11:49  8.0p 55 %      100%  20.0w 10:19  8.0p 59 %      100%  20.0w  9:46  8.0p 61 %      
m12       75%  19.8w  9:50  8.5p 32 %        0%  19.0w 11:15  8.0p  0 %      100%  20.0w  9:58  8.3p 55 %      100%  20.0w  9:12  8.8p 88 %      
